Command: /home/users9/jp581081/526LSP21/LAB9/./simv -l fifo_FWFT.log
Chronologic VCS simulator copyright 1991-2017
Contains Synopsys proprietary information.
Compiler version N-2017.12-SP2-2_Full64; Runtime version N-2017.12-SP2-2_Full64;  May  1 18:13 2021
VCD+ Writer N-2017.12-SP2-2_Full64 Copyright (c) 1991-2017 by Synopsys Inc.
                 660:rst_n=x, data_in= 34, wr_en=1, almost_full=1, full=1, overflow=0, rd_en=0 data_out=  2, valid=0, almost_empty=0, empty=0, underflow=0, count=32
                 670:rst_n=x, data_in= 34, wr_en=1, almost_full=1, full=1, overflow=1, rd_en=0 data_out=  2, valid=0, almost_empty=0, empty=0, underflow=0, count=32
                 680:rst_n=x, data_in= 35, wr_en=0, almost_full=1, full=1, overflow=1, rd_en=0 data_out=  2, valid=0, almost_empty=0, empty=0, underflow=0, count=32
                 690:rst_n=x, data_in= 35, wr_en=0, almost_full=1, full=1, overflow=0, rd_en=0 data_out=  2, valid=0, almost_empty=0, empty=0, underflow=0, count=32
                 700:rst_n=x, data_in= 36, wr_en=0, almost_full=1, full=1, overflow=0, rd_en=1 data_out=  2, valid=0, almost_empty=0, empty=0, underflow=0, count=32
                 710:rst_n=x, data_in= 36, wr_en=0, almost_full=1, full=0, overflow=0, rd_en=1 data_out=  3, valid=1, almost_empty=0, empty=0, underflow=0, count=31
                 720:rst_n=x, data_in= 37, wr_en=0, almost_full=1, full=0, overflow=0, rd_en=1 data_out=  3, valid=1, almost_empty=0, empty=0, underflow=0, count=31
                 730:rst_n=x, data_in= 37, wr_en=0, almost_full=1, full=0, overflow=0, rd_en=1 data_out=  4, valid=1, almost_empty=0, empty=0, underflow=0, count=30
                 740:rst_n=x, data_in= 38, wr_en=0, almost_full=1, full=0, overflow=0, rd_en=1 data_out=  4, valid=1, almost_empty=0, empty=0, underflow=0, count=30
                 750:rst_n=x, data_in= 38, wr_en=0, almost_full=0, full=0, overflow=0, rd_en=1 data_out=  5, valid=1, almost_empty=0, empty=0, underflow=0, count=29
                 760:rst_n=x, data_in= 39, wr_en=0, almost_full=0, full=0, overflow=0, rd_en=1 data_out=  5, valid=1, almost_empty=0, empty=0, underflow=0, count=29
                 770:rst_n=x, data_in= 39, wr_en=0, almost_full=0, full=0, overflow=0, rd_en=1 data_out=  6, valid=1, almost_empty=0, empty=0, underflow=0, count=28
                 780:rst_n=x, data_in= 40, wr_en=0, almost_full=0, full=0, overflow=0, rd_en=1 data_out=  6, valid=1, almost_empty=0, empty=0, underflow=0, count=28
                 790:rst_n=x, data_in= 40, wr_en=0, almost_full=0, full=0, overflow=0, rd_en=1 data_out=  7, valid=1, almost_empty=0, empty=0, underflow=0, count=27
                 800:rst_n=x, data_in= 41, wr_en=0, almost_full=0, full=0, overflow=0, rd_en=1 data_out=  7, valid=1, almost_empty=0, empty=0, underflow=0, count=27
                 810:rst_n=x, data_in= 41, wr_en=0, almost_full=0, full=0, overflow=0, rd_en=1 data_out=  8, valid=1, almost_empty=0, empty=0, underflow=0, count=26
                 820:rst_n=x, data_in= 42, wr_en=0, almost_full=0, full=0, overflow=0, rd_en=1 data_out=  8, valid=1, almost_empty=0, empty=0, underflow=0, count=26
                 830:rst_n=x, data_in= 42, wr_en=0, almost_full=0, full=0, overflow=0, rd_en=1 data_out=  9, valid=1, almost_empty=0, empty=0, underflow=0, count=25
                 840:rst_n=x, data_in= 43, wr_en=0, almost_full=0, full=0, overflow=0, rd_en=1 data_out=  9, valid=1, almost_empty=0, empty=0, underflow=0, count=25
                 850:rst_n=x, data_in= 43, wr_en=0, almost_full=0, full=0, overflow=0, rd_en=1 data_out= 10, valid=1, almost_empty=0, empty=0, underflow=0, count=24
                 860:rst_n=x, data_in= 44, wr_en=0, almost_full=0, full=0, overflow=0, rd_en=1 data_out= 10, valid=1, almost_empty=0, empty=0, underflow=0, count=24
                 870:rst_n=x, data_in= 44, wr_en=0, almost_full=0, full=0, overflow=0, rd_en=1 data_out= 11, valid=1, almost_empty=0, empty=0, underflow=0, count=23
                 880:rst_n=x, data_in= 45, wr_en=0, almost_full=0, full=0, overflow=0, rd_en=1 data_out= 11, valid=1, almost_empty=0, empty=0, underflow=0, count=23
                 890:rst_n=x, data_in= 45, wr_en=0, almost_full=0, full=0, overflow=0, rd_en=1 data_out= 12, valid=1, almost_empty=0, empty=0, underflow=0, count=22
                 900:rst_n=x, data_in= 46, wr_en=0, almost_full=0, full=0, overflow=0, rd_en=1 data_out= 12, valid=1, almost_empty=0, empty=0, underflow=0, count=22
                 910:rst_n=x, data_in= 46, wr_en=0, almost_full=0, full=0, overflow=0, rd_en=1 data_out= 13, valid=1, almost_empty=0, empty=0, underflow=0, count=21
                 920:rst_n=x, data_in= 47, wr_en=0, almost_full=0, full=0, overflow=0, rd_en=1 data_out= 13, valid=1, almost_empty=0, empty=0, underflow=0, count=21
                 930:rst_n=x, data_in= 47, wr_en=0, almost_full=0, full=0, overflow=0, rd_en=1 data_out= 14, valid=1, almost_empty=0, empty=0, underflow=0, count=20
                 940:rst_n=x, data_in= 48, wr_en=0, almost_full=0, full=0, overflow=0, rd_en=1 data_out= 14, valid=1, almost_empty=0, empty=0, underflow=0, count=20
                 950:rst_n=x, data_in= 48, wr_en=0, almost_full=0, full=0, overflow=0, rd_en=1 data_out= 15, valid=1, almost_empty=0, empty=0, underflow=0, count=19
                 960:rst_n=x, data_in= 49, wr_en=0, almost_full=0, full=0, overflow=0, rd_en=1 data_out= 15, valid=1, almost_empty=0, empty=0, underflow=0, count=19
                 970:rst_n=x, data_in= 49, wr_en=0, almost_full=0, full=0, overflow=0, rd_en=1 data_out= 16, valid=1, almost_empty=0, empty=0, underflow=0, count=18
                 980:rst_n=x, data_in= 50, wr_en=0, almost_full=0, full=0, overflow=0, rd_en=1 data_out= 16, valid=1, almost_empty=0, empty=0, underflow=0, count=18
                 990:rst_n=x, data_in= 50, wr_en=0, almost_full=0, full=0, overflow=0, rd_en=1 data_out= 17, valid=1, almost_empty=0, empty=0, underflow=0, count=17
                1000:rst_n=x, data_in= 51, wr_en=0, almost_full=0, full=0, overflow=0, rd_en=1 data_out= 17, valid=1, almost_empty=0, empty=0, underflow=0, count=17
                1010:rst_n=x, data_in= 51, wr_en=0, almost_full=0, full=0, overflow=0, rd_en=1 data_out= 18, valid=1, almost_empty=0, empty=0, underflow=0, count=16
                1020:rst_n=x, data_in= 52, wr_en=0, almost_full=0, full=0, overflow=0, rd_en=1 data_out= 18, valid=1, almost_empty=0, empty=0, underflow=0, count=16
                1030:rst_n=x, data_in= 52, wr_en=0, almost_full=0, full=0, overflow=0, rd_en=1 data_out= 19, valid=1, almost_empty=0, empty=0, underflow=0, count=15
                1040:rst_n=x, data_in= 53, wr_en=0, almost_full=0, full=0, overflow=0, rd_en=1 data_out= 19, valid=1, almost_empty=0, empty=0, underflow=0, count=15
                1050:rst_n=x, data_in= 53, wr_en=0, almost_full=0, full=0, overflow=0, rd_en=1 data_out= 20, valid=1, almost_empty=0, empty=0, underflow=0, count=14
                1060:rst_n=x, data_in= 54, wr_en=0, almost_full=0, full=0, overflow=0, rd_en=1 data_out= 20, valid=1, almost_empty=0, empty=0, underflow=0, count=14
                1070:rst_n=x, data_in= 54, wr_en=0, almost_full=0, full=0, overflow=0, rd_en=1 data_out= 21, valid=1, almost_empty=0, empty=0, underflow=0, count=13
                1080:rst_n=x, data_in= 55, wr_en=0, almost_full=0, full=0, overflow=0, rd_en=1 data_out= 21, valid=1, almost_empty=0, empty=0, underflow=0, count=13
                1090:rst_n=x, data_in= 55, wr_en=0, almost_full=0, full=0, overflow=0, rd_en=1 data_out= 22, valid=1, almost_empty=0, empty=0, underflow=0, count=12
                1100:rst_n=x, data_in= 56, wr_en=0, almost_full=0, full=0, overflow=0, rd_en=1 data_out= 22, valid=1, almost_empty=0, empty=0, underflow=0, count=12
                1110:rst_n=x, data_in= 56, wr_en=0, almost_full=0, full=0, overflow=0, rd_en=1 data_out= 23, valid=1, almost_empty=0, empty=0, underflow=0, count=11
